structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_Co__bulk,alpha_Co__surface,alpha_La__bulk,alpha_La__surface,alpha_Ni__bulk,alpha_Ni__surface,alpha_Sn__bulk,alpha_Sn__surface
1368.optdone,59,9,3.512400292665823,7.024800585331646,22.22372207921534,22.18412808299043,22.168109414053436,0.46031746031746035,-0.07021791767554486,1.0,-0.15254237288135597,-0.0793650793650793,0.012106537530266248,-0.16239316239316248,0.024771838331160256,-1.1587301587301586,0.17675544794188858
1370.optdone,57,11,3.561331096774017,7.122662193548034,22.42924658010772,22.531449670393652,22.423650693389355,0.5584415584415584,-0.10776942355889729,-0.9020979020979023,0.1740890688259109,0.11688311688311681,-0.022556390977443552,-0.4265734265734267,0.08232118758434548,0.5584415584415584,-0.10776942355889729
1371.optdone,59,9,3.621074042427756,7.242148084855512,22.532863049135674,22.204590159360055,22.160685648399525,0.46031746031746035,-0.07021791767554486,1.0,-0.15254237288135597,-0.6190476190476191,0.09443099273607747,-1.324786324786325,0.2020860495436766,0.46031746031746035,-0.07021791767554486
1372.optdone,57,11,3.5043371943916686,7.008674388783337,22.30085301687676,22.432504151433157,22.56261958863576,-0.7662337662337664,0.1478696741854637,0.04895104895104885,-0.009446693657219951,0.5584415584415584,-0.10776942355889729,0.04895104895104885,-0.009446693657219951,0.11688311688311681,-0.022556390977443552
1374.optdone,54,14,3.772513718223113,7.545027436446226,21.993589343727486,22.44640186689192,22.531507594880544,0.30612244897959184,-0.0793650793650793,-1.2417582417582418,0.32193732193732194,0.653061224489796,-0.1693121693121693,-0.1208791208791209,0.031339031339031376,0.30612244897959184,-0.0793650793650793
1375.optdone,56,12,3.7287714061369774,7.457542812273955,22.66414371081623,22.317991282050713,22.802364360269454,0.19047619047619047,-0.04081632653061229,-1.6153846153846154,0.34615384615384615,0.5952380952380952,-0.12755102040816335,0.5641025641025641,-0.1208791208791209,0.19047619047619047,-0.04081632653061229
1376.optdone,56,12,3.812717001139122,7.625434002278244,22.781104114301563,22.53740001594244,22.81966475467033,0.5952380952380952,-0.12755102040816335,-0.7435897435897436,0.15934065934065922,0.19047619047619047,-0.04081632653061229,-0.3076923076923077,0.06593406593406581,0.19047619047619047,-0.04081632653061229
1377.optdone,53,15,3.8694099321791824,7.738819864358365,22.153932015194325,22.19982148586174,22.243185830813268,1.0,-0.28301886792452824,-0.394871794871795,0.11175616835994195,0.35238095238095235,-0.09973045822102433,-1.4410256410256412,0.4078374455732946,0.35238095238095235,-0.09973045822102433
1378.optdone,56,12,3.577492238057251,7.154984476114502,22.30826035235463,22.357402542334814,22.62534747572254,0.19047619047619047,-0.04081632653061229,0.5641025641025641,-0.1208791208791209,0.19047619047619047,-0.04081632653061229,-0.7435897435897436,0.15934065934065922,-0.2142857142857144,0.04591836734693877
1379.optdone,51,17,3.7350067185578006,7.470013437115601,22.348758502766817,22.65056560798589,22.611693901442898,0.7142857142857143,-0.23809523809523814,-0.8461538461538465,0.28205128205128194,0.4285714285714286,-0.1428571428571428,-0.23076923076923084,0.07692307692307676,-0.1428571428571428,0.04761904761904756
