G,pH=1,pH=7,pH=14
-1.433333333,-18.31745957,-16.33428432,-12.88815075
-1.416666667,-18.00176744,-16.01859325,-12.57245968
-1.4,-17.68607637,-15.70290218,-12.25676862
-1.383333333,-17.3703853,-15.38721111,-11.94107755
-1.366666667,-17.05469423,,-11.62538648
-1.35,-16.7390032,-14.75582898,-11.30969541
-1.333333333,-16.42331218,-14.44013791,-10.99400434
-1.316666667,-16.10762103,-14.12444684,-10.67831327
-1.3,-15.79193009,-13.80875577,-10.36262221
-1.283333333,-15.47623889,-13.4930647,-10.04693114
-1.266666667,-15.16054782,-13.17737363,-9.731240071
-1.25,-14.84485675,-12.86168256,-9.415549003
-1.233333333,-14.52916568,-12.5459915,-9.099857936
-1.216666667,-14.21347462,-12.23030043,-8.784166869
-1.2,-13.89778355,-11.91460936,-8.468475802
-1.183333333,-13.58209248,-11.59891829,-8.152784736
-1.166666667,-13.26640141,-11.28322722,-7.83709367
-1.15,-12.95071034,-10.96753615,-7.521402605
-1.133333333,-12.63501927,-10.65184509,-7.205711542
-1.116666667,-12.3193282,-10.33615402,-6.890020481
-1.1,-12.00363714,-10.02046295,-6.574329424
